Min_R1,Max_R1,Sum_R1,Mean_R1,Variance_R1,StandardDev_R1,Skewness_R1,Kurtosis_R1,Excess Kurtosis_R1,Energy_R1_D1_T1,Contrast_R1_D1_T1,Homogeneity_R1_D1_T1,Entropy_R1_D1_T1,Correlation_R1_D1_T1,Dissimilarity_R1_D1_T1,MeanX_R1_D1_T1,MeanY_R1_D1_T1,StdDevX_R1_D1_T1,StdDevY_R1_D1_T1,Short Run Emphasis (SRE)R_1_T1,Long Run Emphasis (LRE)R_1_T1,Gray Level Non-Uniformity (GLN)R_1_T1,Run Length Non-Uniformity (RLN)R_1_T1,Run Percentage (RP)R_1_T1,Low Gray Level Run Emphasis (LGRE)R_1_T1,High Gray Level Run Emphasis (HGRE)R_1_T1,Class
33,255,110.45784324008449,110.45784324008449,1168.0632335209693,34.17694008422886,0.4193160939669342,2.8887169254914764,-0.1112830745085236,0.0007867849552220031,12.145026689539943,0.3209447711896552,7.485991684950302,0.9948053791648664,2.6227050597305115,78.58667769340627,78.45813096759652,34.15278201389055,34.179908431094844,0.8964480533785285,1.6364998501648187,0.008391635398119294,0.7646442004779826,1.4983518129832433e-05,0.00044234112687671206,7481.500000000001,normal
1,163,24.705085765874205,24.705085765874212,911.4980056995024,30.191025250883786,1.251304234137471,3.8372667811848795,0.8372667811848795,0.19191062326625952,9.452979908670411,0.6115277742222797,4.761397681847539,0.9948340415186202,1.6645281107265824,24.852388992064828,24.831757555292956,30.263743140004912,30.225953759208473,0.5150249584055879,6685.126575718059,0.20276642211733092,0.25119359855862994,1.652892561955837e-05,0.1150244936441467,1572.2494399304512,normal
4,202,60.57486390675973,60.57486390675973,945.3999608262667,30.747356973019105,1.0208058282433685,4.295556779224165,1.2955567792241647,0.001365906458805456,8.10810509674954,0.3997510762757901,7.056071917136185,0.9957140644163315,2.039350538833581,57.56897739243187,57.603668665424294,30.769381274105665,30.73148655968852,0.8541630840511921,2.106559612179973,0.010554461572628343,0.686004372369671,1.0099479876684347e-05,0.0009233948572275533,4376.3262636974205,normal
10,232,70.0545728342599,70.0545728342599,1500.7911901141165,38.74004633598309,1.1086812226500375,3.9479441489636424,0.9479441489636424,0.0012311681767894044,8.60827781676862,0.39583952179398,7.230490472758766,0.9971319680949053,2.0913952910777875,61.064323250713805,61.057195762817344,38.73714059575949,38.741051683739734,0.8544811420251197,2.10990779132372,0.009109312597452545,0.6867004091110928,1.0314169606098624e-05,0.0010447888972024328,5351.506013160881,normal
1,255,134.4972987598647,134.4972987598647,2472.84358007647,49.72769429680477,-0.32409758414240947,2.555472477346549,-0.4445275226534511,0.0006678998117411671,7.689469638669945,0.38237861144367497,7.644135790984345,0.9984453952313223,2.069702039136679,134.46813763168632,134.50288013745163,49.73224977361356,49.72006997322755,0.8661393322028765,1.9755941375422776,0.0058272362433683215,0.7077585133463299,9.018759018677676e-06,0.00022712065815353523,20832.361551296504,normal
32,236,128.9120936656526,128.9120936656526,1385.038554646868,37.21610611881458,0.21267547978070003,2.44177569899038,-0.55822430100962,0.0009489294275780214,6.475460428015079,0.399878890434795,7.295388178275624,0.9976599125629015,1.9115978098383664,97.94214217837919,97.91131725417432,37.19355317021739,37.1943633032712,0.8577808282877211,2.0383636330811865,0.007645051423131491,0.6923298188095203,9.026737195491807e-06,0.00029842985669028676,11168.136791175459,normal
2,255,73.62425142751033,73.62425142751033,1499.6703971211923,38.72557807342832,1.0677547955738462,4.125091647934581,1.125091647934581,0.0008580424831226407,16.23947817958923,0.31932153023333315,7.555218202911091,0.99458705620378,2.869451778181871,72.5893772324891,72.61357353626325,38.717187537944895,38.74124861680792,0.8947001748625462,1.6741199226305608,0.008611755994314697,0.7613340514456302,1.5473887814073905e-05,0.0005076663155183394,6919.986661508704,normal
1,225,74.16519796641504,74.16519796641504,1564.9681032538303,39.559677744564986,0.33220391286588297,2.257969068941464,-0.7420309310585358,0.0008960113928385948,8.522898048663784,0.3706780896743875,7.356308086901034,0.9972799500182464,2.1654040013270888,74.18422029128915,74.14782460805831,39.57192630384737,39.58388605845776,0.8744303554534043,1.8158065013095053,0.007451225795596658,0.7222509690077281,1.5405709355649953e-05,0.000680172802444214,7214.775088584194,normal
37,255,114.58905704307337,114.58905704307337,1213.6562285146679,34.83756921076251,0.295131422385737,3.0834416193591108,0.08344161935911076,0.0008559856148041311,12.927350427151692,0.32352017728830007,7.468176202642655,0.9946799536135786,2.647297546537439,78.6787954251982,78.54607083563947,34.840249401721564,34.82427291533672,0.8949425062542723,1.654903041999816,0.008838597862472302,0.761529080873538,1.5317219618060272e-05,0.0005582976406084605,7547.843029133352,normal
1,255,73.42439597673958,73.42439597673958,1482.0628099554447,38.49756888370283,1.0721108182695864,4.15981356726843,1.1598135672684302,0.0008659454321508051,16.083113779546448,0.3218641817367661,7.545557746730165,0.994573674608104,2.85304209296536,73.40023589240843,73.4054745420012,38.4923169618202,38.499759428363355,0.8929980377336628,1.6770249851188208,0.008655375478183595,0.7580021853906207,1.5262515262282315e-05,0.00043595504306992883,7021.053526457975,normal
