Min,Max,Count,Frequency Count,Sum,Mean,Variance,StandardDev,Skewness,Kurtosis,Excess Kurtosis,Category
1.0,91.07142857142857,0.35714285714285715,0.35714285714285715,91.07142857142857,255.0,0.0,0.0,,,,normal
1.0,91.07142857142857,0.35714285714285715,0.35714285714285715,91.07142857142857,255.0,0.0,0.0,,,,normal
1.0,91.07142857142857,0.35714285714285715,0.35714285714285715,91.07142857142857,255.0,0.0,0.0,,,,hyperplasia
1.0,91.07142857142857,0.35714285714285715,0.35714285714285715,91.07142857142857,255.0,0.0,0.0,,,,normal
1.0,109.28571428571429,0.42857142857142855,0.42857142857142855,109.28571428571429,255.0,0.0,0.0,,,,hyperplasia
1.0,54.642857142857146,0.21428571428571427,0.21428571428571427,54.642857142857146,255.0,0.0,0.0,,,,normal
1.0,81.96428571428571,0.32142857142857145,0.32142857142857145,81.96428571428571,255.0,0.0,0.0,,,,hyperplasia
1.0,81.96428571428571,0.32142857142857145,0.32142857142857145,81.96428571428571,255.0,0.0,0.0,,,,normal
1.0,109.28571428571429,0.42857142857142855,0.42857142857142855,109.28571428571429,255.0,0.0,0.0,,,,normal
1.0,100.17857142857143,0.39285714285714285,0.39285714285714285,100.17857142857143,255.0,0.0,0.0,,,,normal
1.0,81.96428571428571,0.32142857142857145,0.32142857142857145,81.96428571428571,255.0,0.0,0.0,,,,normal
1.0,91.07142857142857,0.35714285714285715,0.35714285714285715,91.07142857142857,255.0,0.0,0.0,,,,normal
1.0,72.85714285714286,0.2857142857142857,0.2857142857142857,72.85714285714286,255.0,0.0,0.0,,,,hyperplasia
1.0,81.96428571428571,0.32142857142857145,0.32142857142857145,81.96428571428571,255.0,0.0,0.0,,,,normal
1.0,63.75,0.25,0.25,63.75,255.0,0.0,0.0,,,,normal
1.0,100.17857142857143,0.39285714285714285,0.39285714285714285,100.17857142857143,255.0,0.0,0.0,,,,hyperplasia
1.0,91.07142857142857,0.35714285714285715,0.35714285714285715,91.07142857142857,255.0,0.0,0.0,,,,normal
1.0,72.85714285714286,0.2857142857142857,0.2857142857142857,72.85714285714286,255.0,0.0,0.0,,,,normal
1.0,127.5,0.5,0.5,127.5,255.0,0.0,0.0,,,,normal
1.0,81.96428571428571,0.32142857142857145,0.32142857142857145,81.96428571428571,255.0,0.0,0.0,,,,hyperplasia
1.0,109.28571428571429,0.42857142857142855,0.42857142857142855,109.28571428571429,255.0,0.0,0.0,,,,hyperplasia
1.0,72.85714285714286,0.2857142857142857,0.2857142857142857,72.85714285714286,255.0,0.0,0.0,,,,normal
1.0,100.17857142857143,0.39285714285714285,0.39285714285714285,100.17857142857143,255.0,0.0,0.0,,,,normal
